SENTENCE	LABEL
By next month, you will have received your promotion.	future_perfect
By the time he wakes up, we will have prepared lunch for everyone.	future_perfect
Next Monday we will have been married for ten years.	future_perfect
Tomorrow Justin will have been single for a whole week.	future_perfect
In September I will have lived here for eight years.	future_perfect
Luke will have been sick for two weeks tomorrow.	future_perfect
Next week you will have had this car for twenty five years!	future_perfect
I shall have studied hard for my exam.	future_perfect
You will have gone to work.	future_perfect
They will have slept at  p.m.	future_perfect
Ram will have watched a movie.	future_perfect
Boys will have swum.        	future_perfect
I shall have not studied hard for my exam.	future_perfect
You will have not gone to work.	future_perfect
They will have not slept at  p.m.	future_perfect
Ram will have not watched a movie.	future_perfect
Boys will have not swum.  	future_perfect
Will you not have gone to work?	future_perfect
Will they not have slept at  p.m.?	future_perfect
Will Ram not have watched a movie?	future_perfect
Will boys not have swum?	future_perfect
He will have cooked food.	future_perfect
Shall we have shifted into the new house by Monday?	future_perfect
Sham will have returned from America.	future_perfect
He will have given the gift to Ram tomorrow.	future_perfect
You will have become a scientist after four years.	future_perfect
