SENTENCE	LABEL
If we had called ahead, we would not have needed to wait so long for a table.	past_perfect_tense
The train had just left when I arrived at the station.	past_perfect_tense
She had just left the room when the police arrived.	past_perfect_tense
I had just put the washing out when it started to rain.	past_perfect_tense
I had never seen such a beautiful beach before I went to Kauai.	past_perfect_tense
I did not have any money because I had lost my wallet.	past_perfect_tense
Tony knew Istanbul so well because he had visited the city several times.	past_perfect_tense
Had Susan ever studied Thai before she moved to Thailand?	past_perfect_tense
She only understood the movie because she had read the book.	past_perfect_tense
Kristine had never been to an opera before last night.	past_perfect_tense
We were not able to get a hotel room because we had not booked in advance.	past_perfect_tense
You had previously studied English before you moved to New York.	past_perfect_tense
Had you previously studied English before you moved to New York?	past_perfect_tense
I had watched television.	past_perfect_tense
We had already eaten our meal.	past_perfect_tense
He had left before I woke up.	past_perfect_tense
They had sung the song.	past_perfect_tense
Had we washed the clothes?	past_perfect_tense
I was playing.	past_continous_tense
I was not playing.	past_continous_tense
Was I playing?	past_continous_tense
You were playing.	past_continous_tense
You were not playing.	past_continous_tense
Were you playing?	past_continous_tense
He was playing	past_continous_tense
He wasn't playing	past_continous_tense
Was he playing?	past_continous_tense
We were playing	past_continous_tense
We weren't playing	past_continous_tense
Were we playing?	past_continous_tense
They were playing.	past_continous_tense
They weren't playing	past_continous_tense
Were they playing?	past_continous_tense
I was studying while he was making dinner.	past_continous_tense
While Ellen was reading, Tim was watching television.	past_continous_tense
Were you listening while he was talking?	past_continous_tense
I wasn't paying attention while I was writing the letter, so I made several mistakes.	past_continous_tense
What were you doing while you were waiting?	past_continous_tense
Thomas wasn't working, and I wasn't working either.	past_continous_tense
They were eating dinner, discussing their plans, and having a good time.	past_continous_tense
She was always coming to class late.	past_continous_tense
He was constantly talking. He annoyed everyone.	past_continous_tense
I didn't like them because they were always complaining.	past_continous_tense
I was studying when she called.	past_continous_tense
While I was studying, she called.	past_continous_tense
You were just studying when she called.	past_continous_tense
Were you just studying when she called?	past_continous_tense
I was writing articles on different topics.	past_continous_tense
He was reading various kinds of books.	past_continous_tense
They were playing football in that field.	past_continous_tense
She was drinking coffee in that coffee shop.	past_continous_tense
He was studying in the library.	past_continous_tense
We were shopping in this market last week.	past_continous_tense
We were watching a movie in this Cineplex yesterday.	past_continous_tense
You were shopping in that market.	past_continous_tense
I was singing different kinds of songs, especially modern.	past_continous_tense
I was listening to melodious songs last evening.	past_continous_tense
He was traveling around the world.	past_continous_tense
They were playing hockey on that field last week.	past_continous_tense
The poet was writing a romantic poem.	past_continous_tense
The lyricist was writing a realistic song for the program.	past_continous_tense
Were you enjoying the concert of realistic songs?	past_continous_tense
I was not watching the cricket match on television.	past_continous_tense
He was practicing to sing the song for the program.	past_continous_tense
I was helping him to do the task.	past_continous_tense
We were enjoying the program thoroughly.	past_continous_tense
I was shopping at the Dhaka International Trade Fair with my elder brother.	past_continous_tense
They had been talking for over an hour before Tony arrived.	past_perfect_continous_tense
She had been working at that company for three years when it went out of business.	past_perfect_continous_tense
How long had you been waiting to get on the bus?	past_perfect_continous_tense
Mike wanted to sit down because he had been standing all day at work.	past_perfect_continous_tense
James had been teaching at the university for more than a year before he left for Asia.	past_perfect_continous_tense
Jason was tired because he had been jogging.	past_perfect_continous_tense
Sam gained weight because he had been overeating.	past_perfect_continous_tense
Betty failed the final test because she had not been attending class.	past_perfect_continous_tense
You had only been waiting there for a few minutes when she arrived.	past_perfect_continous_tense
Had you only been waiting there for a few minutes when she arrived?	past_perfect_continous_tense
I had been buying.	past_perfect_continous_tense
I hadn't been buying.	past_perfect_continous_tense
Had I been buying?	past_perfect_continous_tense
You had been buying.	past_perfect_continous_tense
You hadn't been buying.	past_perfect_continous_tense
Had you been buying?	past_perfect_continous_tense
She had been buying.	past_perfect_continous_tense
She hadn't been buying.	past_perfect_continous_tense
Had she been buying?	past_perfect_continous_tense
We had been buying.	past_perfect_continous_tense
We hadn't been buying.	past_perfect_continous_tense
Had we been buying?	past_perfect_continous_tense
They had been buying.	past_perfect_continous_tense
They hadn't been buying.	past_perfect_continous_tense
Had they been buying?	past_perfect_continous_tense
Had I been sleeping since four o’clock?	past_perfect_continous_tense
We had not been eating food for four days.	past_perfect_continous_tense
It had been raining since morning.	past_perfect_continous_tense
Rita had been learning dance for five years.	past_perfect_continous_tense
They had been living in this house since 1984.	past_perfect_continous_tense
I had been writing articles on various topics for three hours.	past_perfect_continous_tense
He had been reading different kinds of books since morning.	past_perfect_continous_tense
They had been playing football in that field before it started to rain.	past_perfect_continous_tense
Jane had been gossiping in the coffee shop for two hours.	past_perfect_continous_tense
Jeff had been studying in the library before he came to the class.	past_perfect_continous_tense
We had been shopping in that shop before we came home.	past_perfect_continous_tense
We had been watching a movie in this Cineplex for three hours.	past_perfect_continous_tense
You had been shopping in that market before you came home.	past_perfect_continous_tense
I had been singing different kinds of songs for an hour.	past_perfect_continous_tense
I had been listening to melodious songs for two hours.	past_perfect_continous_tense
Tom had been traveling around the world since the month of December.	past_perfect_continous_tense
They had been playing hockey on that field for three hours.	past_perfect_continous_tense
The poet had been writing romantic poems since morning.	past_perfect_continous_tense
The lyricist had been writing realistic songs since the beginning of his career.	past_perfect_continous_tense
Had you not been enjoying the concert for three hours?	past_perfect_continous_tense
I had not been watching the cricket match on television for two hours.	past_perfect_continous_tense
Richard had been practicing to sing the song since morning.	past_perfect_continous_tense
I had been helping him to do the task before I started the program.	past_perfect_continous_tense
We had been enjoying the program thoroughly for three hours.	past_perfect_continous_tense
I had been shopping with my elder brother in the fair since morning.	past_perfect_continous_tense
